Facility Id,State,Primary NAICS Code,Industry Type (subparts),Industry Type (sectors),Total reported direct emissions,CO2 emissions (non-biogenic) ,Methane (CH4) emissions ,Nitrous Oxide (N2O) emissions ,HFC emissions,PFC emissions,SF6 emissions ,NF3 emissions,Other Fully Fluorinated GHG emissions,HFE emissions,Very Short-lived Compounds emissions,Other GHGs (metric tons CO2e),Biogenic CO2 emissions (metric tons),Stationary Combustion,Electricity Generation,Adipic Acid Production,Aluminum Production,Ammonia Manufacturing,Cement Production,Electronics Manufacture,Ferroalloy Production,Fluorinated GHG Production,Glass Production,HCFC–22 Production from HFC–23 Destruction,Hydrogen Production,Iron and Steel Production,Lead Production,Lime Production,Magnesium Production,Miscellaneous Use of Carbonates,Nitric Acid Production,Petroleum and Natural Gas Systems – Offshore Production,Petroleum and Natural Gas Systems – Processing,Petroleum and Natural Gas Systems – Transmission/Compression,Petroleum and Natural Gas Systems – Underground Storage,Petroleum and Natural Gas Systems – LNG Storage,Petroleum and Natural Gas Systems – LNG Import/Export,Petrochemical Production,Petroleum Refining,Phosphoric Acid Production,Pulp and Paper Manufacturing,Silicon Carbide Production,Soda Ash Manufacturing,Titanium Dioxide Production,Underground Coal Mines,Zinc Production,Municipal Landfills,Industrial Wastewater Treatment,Manufacture of Electric Transmission and Distribution Equipment,Industrial Waste Landfills,Is some CO2 collected on-site and used to manufacture other products and therefore not emitted from the affected manufacturing process unit(s)? (as reported under Subpart G or S),"Is some CO2 reported as emissions from the affected manufacturing process unit(s) under Subpart AA, G or P collected and transferred off-site or injected (as reported under Subpart PP)?",Does the facility employ continuous emissions monitoring? ,Reporting_Year,2021 Total reported direct emissions,2020 Total reported direct emissions
1002656,SD,562212.0,HH,Waste,87240.75,0.0,87240.75,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,87240.75,,,,N,N,N,2023,70991.25,30161.25
1002809,IA,325193.0,C,Other,87511.472,87421.6,41.0,48.872,,,,,,,,,,87511.472,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,N,N,N,2023,56749.136,48385.868
1005683,NE,325193.0,C,Other,105129.63,104962.8,67.0,99.83,,,,,,,,,11319.6,105129.63,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,N,N,N,2023,103694.708,86363.066
1014345,TX,221112.0,D,Power Plants,89240.52,89150.1,41.25,49.17,,,,,,,,,,,89240.52,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,N,N,N,2023,0.0,0.0
1014548,GA,335910.0,C,Other,57618.832,57559.1,27.25,32.482,,,,,,,,,,57618.832,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,N,N,N,2023,0.0,0.0
1012436,MN,562212.0,"C,TT","Other,Waste",53929.55,7.8,53921.75,0.0,,,,,,,,,,7.8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,53921.75,N,N,N,2023,53800.1,49913.25
1000354,MN,334413.0,"C,I",Other,65651.7061436,6273.6,3.0,188.634,6112.616,47106.59994,2302.8,1441.36,2141.0,82.0962,3.6e-06,,,6280.176,,,,,,59371.5301436,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,N,N,N,2023,92669.7610169,75167.3521415
1003981,AL,331110.0,"C,Q",Metals,95472.52,95436.9,16.25,19.37,,,,,,,,,,34575.12,,,,,,,,,,,,60897.4,,,,,,,,,,,,,,,,,,,,,,,,,N,N,N,2023,111063.98,107313.244
1003666,VA,562212.0,HH,Waste,97626.25,0.0,97626.25,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,97626.25,,,,N,N,N,2023,101191.5,83510.75
1012111,IL,311611.0,C,Other,30837.784,30806.0,14.5,17.284,,,,,,,,,,30837.784,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,N,N,N,2023,3263.688,32247.728
1011725,MO,311611.0,"C,II","Other,Waste",25432.954,25260.9,157.75,14.304,,,,,,,,,,25287.204,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,145.75,,,N,N,N,2023,29650.996,31910.038
1005415,IA,311611.0,"C,II","Other,Waste",48538.646,27726.4,20796.75,15.496,,,,,,,,,,27754.896,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,20783.75,,,N,N,N,2023,56210.892,48988.748
1004116,VA,311612.0,"C,II","Other,Waste",8329.472,7653.8,671.5,4.172,,,,,,,,,,7661.472,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,668.0,,,N,N,N,2023,21385.384,25129.724
1004497,MI,562212.0,"C,HH",Waste,158701.0,81.0,158620.0,0.0,,,,,,,,,,81.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,158620.0,,,,N,N,N,2023,146825.3,154084.4
1003157,GA,325998.0,C,Chemicals,56391.388,56333.3,26.5,31.588,,,,,,,,,,56391.388,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,N,N,N,2023,65000.156,63739.96
1009676,LA,211120.0,"C,W-OFFSH",Petroleum and Natural Gas Systems,4556.248,159.2,4396.75,0.298,,,,,,,,,,155.848,,,,,,,,,,,,,,,,,,4400.4,,,,,,,,,,,,,,,,,,,N,N,N,2023,15422.08,22438.414
1014601,LA,211120.0,"C,W-OFFSH",Petroleum and Natural Gas Systems,42596.264,9290.4,33300.5,5.364,,,,,,,,,,9286.514,,,,,,,,,,,,,,,,,,33309.75,,,,,,,,,,,,,,,,,,,N,N,N,2023,0.0,0.0
1002259,LA,488999.0,"C,W-LNGIE",Petroleum and Natural Gas Systems,6261720.536,6237455.7,20761.25,3503.586,,,,,,,,,,6075042.624,,,,,,,,,,,,,,,,,,,,,,,186677.912,,,,,,,,,,,,,,N,N,N,2023,5636545.166,4159231.97
1001657,GA,486210.0,"C,W-LNGIE",Petroleum and Natural Gas Systems,63515.208,61940.2,1531.5,43.508,,,,,,,,,,55313.692,,,,,,,,,,,,,,,,,,,,,,,8201.516,,,,,,,,,,,,,,N,N,N,2023,99989.654,81565.722
1005159,HI,221210.0,"C,PP,W-LNGIE","Petroleum and Natural Gas Systems,Suppliers of CO2",26625.922,26573.7,18.25,33.972,,,,,,,,,,26625.922,,,,,,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,N,N,N,2023,24082.44,21131.19
1013639,WY,211130.0,"C,NN-FRAC,W-PROC","Natural Gas and Natural Gas Liquids Suppliers,Petroleum and Natural Gas Systems",19701.928,19524.2,167.0,10.728,,,,,,,,,,18804.98,,,,,,,,,,,,,,,,,,,896.948,,,,,,,,,,,,,,,,,,N,N,N,2023,0.0,0.0
